inventory_id,vendor_id,department_code,department_name,lead_time_days,min_stock_limit,max_capacity,team_member,team_member_email,manager,manager_email
INV00206,V0001,DEPT_OUT06,Outpatient,21,156,624,Team_Member_9,team_member_9@hospital.org,Manager_10,manager_10@hospital.org
INV00207,V0184,DEPT_PED07,Pediatrics,8,175,700,Team_Member_1,team_member_1@hospital.org,Manager_2,manager_2@hospital.org
INV00208,V0018,DEPT_PHA08,Pharmacy,10,121,242,Team_Member_8,team_member_8@hospital.org,Manager_3,manager_3@hospital.org
INV00209,V0143,DEPT_RAD09,Radiology,26,105,315,Team_Member_7,team_member_7@hospital.org,Manager_9,manager_9@hospital.org
INV00210,V0103,DEPT_SUR10,Surgery,20,110,330,Team_Member_18,team_member_18@hospital.org,Manager_7,manager_7@hospital.org
INV00211,V0100,DEPT_EME01,Emergency,3,144,576,Team_Member_8,team_member_8@hospital.org,Manager_4,manager_4@hospital.org
INV00212,V0123,DEPT_GYN02,Gynecology,28,65,195,Team_Member_1,team_member_1@hospital.org,Manager_10,manager_10@hospital.org
INV00213,V0185,DEPT_ICU03,ICU,23,98,196,Team_Member_11,team_member_11@hospital.org,Manager_5,manager_5@hospital.org
INV00214,V0003,DEPT_ONC04,Oncology,24,73,292,Team_Member_18,team_member_18@hospital.org,Manager_2,manager_2@hospital.org
INV00215,V0182,DEPT_ORT05,Orthopedics,8,55,110,Team_Member_10,team_member_10@hospital.org,Manager_8,manager_8@hospital.org
INV00216,V0124,DEPT_OUT06,Outpatient,9,112,224,Team_Member_3,team_member_3@hospital.org,Manager_4,manager_4@hospital.org
INV00217,V0090,DEPT_PED07,Pediatrics,13,67,268,Team_Member_7,team_member_7@hospital.org,Manager_9,manager_9@hospital.org
INV00218,V0008,DEPT_PHA08,Pharmacy,21,200,400,Team_Member_16,team_member_16@hospital.org,Manager_5,manager_5@hospital.org
INV00219,V0124,DEPT_RAD09,Radiology,9,134,268,Team_Member_16,team_member_16@hospital.org,Manager_9,manager_9@hospital.org
INV00220,V0053,DEPT_SUR10,Surgery,12,120,240,Team_Member_20,team_member_20@hospital.org,Manager_4,manager_4@hospital.org
INV00221,V0163,DEPT_EME01,Emergency,10,188,564,Team_Member_17,team_member_17@hospital.org,Manager_10,manager_10@hospital.org
INV00222,V0192,DEPT_GYN02,Gynecology,30,78,312,Team_Member_2,team_member_2@hospital.org,Manager_5,manager_5@hospital.org
INV00223,V0165,DEPT_ICU03,ICU,10,83,166,Team_Member_1,team_member_1@hospital.org,Manager_9,manager_9@hospital.org
INV00224,V0076,DEPT_ONC04,Oncology,8,110,440,Team_Member_16,team_member_16@hospital.org,Manager_8,manager_8@hospital.org
INV00225,V0089,DEPT_ORT05,Orthopedics,16,54,108,Team_Member_12,team_member_12@hospital.org,Manager_3,manager_3@hospital.org
INV00226,V0030,DEPT_OUT06,Outpatient,11,63,126,Team_Member_5,team_member_5@hospital.org,Manager_1,manager_1@hospital.org
INV00227,V0069,DEPT_PED07,Pediatrics,19,184,368,Team_Member_5,team_member_5@hospital.org,Manager_3,manager_3@hospital.org
INV00228,V0162,DEPT_PHA08,Pharmacy,22,171,513,Team_Member_9,team_member_9@hospital.org,Manager_4,manager_4@hospital.org
INV00229,V0030,DEPT_RAD09,Radiology,11,181,724,Team_Member_9,team_member_9@hospital.org,Manager_2,manager_2@hospital.org
INV00230,V0172,DEPT_SUR10,Surgery,22,165,660,Team_Member_3,team_member_3@hospital.org,Manager_1,manager_1@hospital.org
INV00231,V0087,DEPT_EME01,Emergency,21,61,244,Team_Member_19,team_member_19@hospital.org,Manager_7,manager_7@hospital.org
INV00232,V0082,DEPT_GYN02,Gynecology,4,167,668,Team_Member_16,team_member_16@hospital.org,Manager_8,manager_8@hospital.org
INV00233,V0105,DEPT_ICU03,ICU,11,65,195,Team_Member_16,team_member_16@hospital.org,Manager_7,manager_7@hospital.org
INV00234,V0095,DEPT_ONC04,Oncology,7,159,636,Team_Member_3,team_member_3@hospital.org,Manager_5,manager_5@hospital.org
INV00235,V0048,DEPT_ORT05,Orthopedics,14,175,700,Team_Member_20,team_member_20@hospital.org,Manager_1,manager_1@hospital.org
INV00236,V0124,DEPT_OUT06,Outpatient,9,68,136,Team_Member_1,team_member_1@hospital.org,Manager_7,manager_7@hospital.org
INV00237,V0195,DEPT_PED07,Pediatrics,9,87,174,Team_Member_20,team_member_20@hospital.org,Manager_7,manager_7@hospital.org
INV00238,V0150,DEPT_PHA08,Pharmacy,13,120,480,Team_Member_11,team_member_11@hospital.org,Manager_9,manager_9@hospital.org
INV00239,V0158,DEPT_RAD09,Radiology,23,147,588,Team_Member_17,team_member_17@hospital.org,Manager_3,manager_3@hospital.org
INV00240,V0120,DEPT_SUR10,Surgery,4,166,664,Team_Member_8,team_member_8@hospital.org,Manager_9,manager_9@hospital.org
INV00241,V0180,DEPT_EME01,Emergency,29,75,300,Team_Member_4,team_member_4@hospital.org,Manager_1,manager_1@hospital.org
INV00242,V0045,DEPT_GYN02,Gynecology,28,191,764,Team_Member_6,team_member_6@hospital.org,Manager_1,manager_1@hospital.org
INV00243,V0136,DEPT_ICU03,ICU,12,160,480,Team_Member_8,team_member_8@hospital.org,Manager_4,manager_4@hospital.org
INV00244,V0011,DEPT_ONC04,Oncology,6,155,465,Team_Member_20,team_member_20@hospital.org,Manager_9,manager_9@hospital.org
INV00245,V0153,DEPT_ORT05,Orthopedics,9,152,456,Team_Member_3,team_member_3@hospital.org,Manager_6,manager_6@hospital.org
INV00246,V0036,DEPT_OUT06,Outpatient,5,130,390,Team_Member_16,team_member_16@hospital.org,Manager_3,manager_3@hospital.org
INV00247,V0088,DEPT_PED07,Pediatrics,3,115,345,Team_Member_3,team_member_3@hospital.org,Manager_1,manager_1@hospital.org
INV00248,V0064,DEPT_PHA08,Pharmacy,30,171,342,Team_Member_18,team_member_18@hospital.org,Manager_4,manager_4@hospital.org
INV00249,V0057,DEPT_RAD09,Radiology,27,71,142,Team_Member_14,team_member_14@hospital.org,Manager_9,manager_9@hospital.org
INV00250,V0067,DEPT_SUR10,Surgery,17,74,296,Team_Member_18,team_member_18@hospital.org,Manager_3,manager_3@hospital.org
